"","Statute","Type","Degree","Desc"
"1","2-2","L","0","MUNICIPAL ORDINANCE VIOLATION/PAYABLE"
"2","2-11.1(3)(B)","C","0","LIMITATIONS ON CAMPAIGN CONTRIBUTIONS"
"3","2-11.1(D)","C","0","CONFLICT OF INTEREST/CTY OFFC TRANSACTING BUSINESS"
"4","2-11.1(G)","C","0","CONFLICT OF INTEREST/EXPLOIT OFFICIAL POSITION"
"5","2-11.1(I)","C","0","CONFL/INTEREST/CODE OF ETHICS/FINANCIAL DISCLOSURE"
"6","2-11.1(O)","C","0","CONFLICT OF INTEREST/ACQUIRING FINANCIAL INTEREST"
"7","2-11.1(S)(2)","C","0","CONFLICT OF INTEREST/ILLEGAL LOBBYING"
"8","2-11.1(S)(7)","C","0","CONFLICT OF INTEREST/CONTINGENCY FEE AGGREEMENT"
"9","2-11.1(E)(3)","C","0","CONFLICT OF INTEREST/SOLICIT/DEMAND GIFT"
"10","2-11.1(E)(4)","C","0","CONFLICT OF INTEREST/DISCLOSE GIFT"
"11","3-3","C","0","COUNTY ORDINANCE VIOLATION/PAYABLE"
"12","3-14","L","0","ALCOHOL CONSUMPTION VIOLATION"
"13","4-1","L","0","ALCOHOLIC BEVERAGES/DRINKING IN PUBLIC/MIAMI"
"14","4-3","L","0","ALCOHOLIC BEVERAGES/SELLING HOURS VIOLATION/MIAMI"
"15","4-4","L","0","ALCOHOLIC BEVERAGES/ESTABLISHMENT/MINGLING/MIAMI"
"16","4-6","L","0","ANIMAL CRUELTY/MUNICIPAL ORDINANCE/HOMESTEAD"
"17","4-10","L","0","LEASHE/VIOLATION/BAY HARBOR ISLAND"
"18","509.101","L","0","RESTURANTS/SEPARATE RECORDS/PURCHASES/SALES/MIAMI"
"19","509.144","L","0","RESTURANT/REQUIREMENTS/LIGHTING CONDITIONS"
"20","4-14(A)(1)","L","0","ALCOHOLIC BEVERAGE/INCIDENTAL/SALE OF FOOD/MIAMI"
"21","4-14(A)(3)","L","0","RESTURANTS/SEPARATE RECORDS/PURCHASES/SALES"
"22","4-74","L","0","DOGS/COMMITTING NUISANCE/HOMESTEAD ORDINANCE"
"23","4-79","L","0","DOGS/FAILURE TO OBTAIN LICENSE/HOMESTEAD ORDINANCE"
"24","4-9","L","0","RUNNING AT LARGE OF ANIMALS/BAY HARBOR ISLAND"
"25","5-1","C","0","ANIMAL ORDINANCE ENFORCEMENT/COUNTY ORDINANCE"
"26","509.241","L","0","BUSINESS/CONDUCT WITHOUT A LICENSE/MUNICIPAL ORD"
"27","6-2","L","0","ANIMALS/RUNNING AT LARGE/MIAMI"
"28","6-18","L","0","ALCOHOLIC BEVERAGE/CONSUME IN PUBLIC PLACE/CGABLES"
"29","6-193","L","0","SELL/SERVE/VEND IN PUBLIC NEAR SCHOOLS MG MUN ORD"
"30","256.007","L","0","SELL/SERVE/VEND IN PUBLIC NEAR PUBLIC PARKS/MIA GD"
"31","6-195","L","0","SELL/SERVE/VEND/SOLICIT IN PUBLIC GENERAL/MIAMI GD"
"32","6-297","L","0","TITLE CERT/DOC REQ PRIOR DISMAN/WRECK/DEST MTR VH"
"33","6-3","L","0","ALCOHOLIC BEVERAGES/SELLING HOURS VIOL/MIA BEACH"
"34","6-4","L","0","ALCOHOL BEVERAGE/LOCATION VIOL/MIA BEACH"
"35","6-5","L","0","ALCOHOLIC BEVERAGE/POSN BY PERSON <21/MIA BEACH"
"36","6-8","L","2","ALCOHOL BEVERAGE/CONSUMPTION/VIO/FLORIDA CITY"
"37","7-7","L","0","PANHANDLING, BEGGING/MUNICIPAL ORDINANCE"
"38","7-23","C","0","BOAT REGISTRATION VIOLATION/COUNTY ORDINANCE"
"39","7-26","C","0","MOTORBOAT/RESTRICTED ZONES/COUNTY ORDINANCE"
"40","7-3","C","0","SWIM/FISH PROHIBITED FROM ROAD BRIDGE/COUNTY ORDN"
"41","8-10","C","0","BUILDING WITHOUT A PERMIT/COUNTY ORDINANCE"
"42","8-6","N","0","PROHIBITION SIDEWALK/BICYCLE/MOPED/8TH ST/4TH AVE"
"43","8-8","L","0","MUNICIPAL ORDINANCE VIOLATION"
"44","8A-156","C","0","ESTIMATE REQUIRED/MOTORBOATS/M-D COUNTY ORDINANCE"
"45","8A-160.1","C","0","DETAILED INVOICE REQUIRED/MOTORBOATS/M-D ORDINANCE"
"46","8A-161.15","C","0","MOTOR VEHICLE REPAIR/NO WRITTEN ANALYSIS"
"47","8A-161.4","C","0","MOTOR VEHICLE REPAIR SHOP/REGISTRATION REQUIRED"
"48","8A-161.7","C","0","MOTER VEHICLE REPAIR SHOP/RECORDS/HANDLING COMPLAI"
"49","8A-172","C","0","BUSINESS/CONDUCT WITHOUT LICENSE/COUNTY ORDINANCE"
"50","8A-179","C","0","BUSINESS LICENSE/FAILURE TO DISPLAY/COUNTY ORDIN"
"51","8A-229","C","0","GAMBLING, LOTTERY VIOLATION/COUNTY ORDINANCE"
"52","8A-276(B)","C","0","COMMERCIAL VEHICLE MARKINGS VIOLATION/COUNTY ORD"
"53","8A-369(N)","M","2","OBTAIN LOCKSMITH TOOLS/NO PERMIT/M-D COUNTY ORD"
"54","8A-52","C","0","PLANTS/FRUITS/SELL/PURCH/TRNSPT BULK W/O CERT"
"55","8B-7","C","0","CURFEW VIOLATION/COUNTY ORDINANCE"
"56","8A-9.2","C","0","FAILURE TO MAINTAIN RECORDS"
"57","8A-9.3(A)","C","0","CASH PAYMENT/REGULATED METALS/OVER $1,000"
"58","8A-9.(B)","C","0","CASH TRANSACTIONS PROHIBITED ON RESTRICTED METALS"
"59","8A-9.3(C)","C","0","IMPROPER PAYMENT BY CHECK FOR RESTRICTED METALS"
"60","8A-9.4","C","0","UNLAWFUL PURCHASE OF RESTRICTED METALS"
"61","8A-9.5(1)","C","0","PURCHASE OUTSIDE OF BUSINESS HOURS"
"62","8A-9.5(2)","C","0","PURCHASE NOT A FIXED LOCATION"
"63","8A-9.5(3)","C","0","PURCHASE FROM UNLAWFUL SELLER"
"64","8A-9.6","C","0","FAILURE TO SCHEDULE OR COMPLETE TRAINING"
"65","9-9","C","0","COUNTY ORDINANCE VIOLATION"
"66","10-02","C","0","CONTRACTING/CERTIFICATE/COMPETENCY REQ/COUNTY ORDN"
"67","10-3(A)","C","0","CONTRACTOR/SUBCONT/BUSINESS W/O CERTI/COUNTY ORD"
"68","10-10","L","0","RESISTING ARREST WITHOUT VIOLENCE/MUN ORD"
"69","10-4(A)","C","0","CONTRACTOR/REPRESENT AS W/O CERTIFICATE/COUNTY ORD"
"70","11.047(3)","M","1","PUBLIC ORDER CRIMES GIVE TAKE CONTINGENCY FEE FOR"
"71","11-11","L","0","DISORDERLY CONDUCT/MUNICIPAL ORDINANCE"
"72","11.143(4)(A)","F","2","FRAUD-FALSE STATEMENT FALSE SWEARING BEFORE LEGISL"
"73","11.47(2)","M","1","PUBLIC ORDER CRIMES FAIL REFUSE TO MAKE PROPER AUD"
"74","11.47(3)","M","1","PUBLIC ORDER CRIMES FAIL TO FURNISH INFO TO AUD GE"
"75","12-12","L","0","SPITTING ON THE SIDEWALK/MUNICIPAL ORDINANCE"
"76","12-14","C","0","ELECTION/RE/PIC/RET/MORE THAN 2 ABSENTEE BALLOTS"
"77","12-22","C","0","ELECTION CAMPAIGN FINANCING ELIGIBILITY"
"78","13-13","L","0","CHILD NEGLECT, ABUSE/MUNICIPAL ORDINANCE"
"79","14-345","L","0","HYPODERMIC NEEDLE/SALE/DISCARD/MG ORD"
"80","14-364","L","0","RACING/TIP SHEETS/MG ORD"
"81","14-566","L","0","POLICE/AUTHORITY/ENFORCEMENT/MG ORD"
"82","14A-12","C","0","FISH/MARINE LIFE VIOLATION/COUNTY ORDINANCE"
"83","14-14","L","0","OBSTRUCTING A POLICE OFFICER/MUNICIPAL ORDINANCE"
"84","14-161","L","0","SMOKING SPITTING W/CERTAIN PUB VEH PROHIBIT MG MUN"
"85","14-2","L","0","URINATING/DEFACATING IN PUBLIC/MIAMI GARDENS"
"86","14-220","L","0","LOITERING/MIAMI GARDENS MUNICIPAL ORDINANCE"
"87","14-251","L","0","AGGRESIVE OR OBSTRUCT PANHANDLING PROHIBIT/MG ORD"
"88","14-252","L","0","STREET CORNER AUTO WINDOW WASHING/MG MUN ORDINANCE"
"89","14-313","L","0","SALES TO MINORS USE/MG MUNICIPAL ORDINANCE"
"90","14-32","L","0","VIOLATION OF STATE LAW MG MUN ORDINANCE"
"91","14-418","L","0","CURFEW VIOLATION MG MUN ORDINANCE"
"92","14-95","L","0","GRAFFITI PROHIBITED MG MUN ORDINANCE"
"93","15-2","L","0","FIREARM/DISCHARGE/MUNICIPAL ORDINANCE"
"94","015.03","M","2","STATE SEAL VIOLATION"
"95","15-6(B)(1)","C","0","LITTERING AND DUMPING VIOLATION/COUNTY ORDINANCE"
"96","15-6(B)(10)","C","0","LITTER/DUMP BY LANDSCAPE BUSINESS/COUNTY ORDINANCE"
"97","15-6(B)(2)","C","0","LITTERING AND DUMPING IN WATERWAY/COUNTY ORDINANCE"
"98","15-6(B)(3)","C","0","WASTE/DUMPING, BURYING/COUNTY ORDINANCE"
"99","15-6(B)(4)","C","0","LITTER/REFUSE/ALLOW TO ACCUMULATE/COUNTY ORDINANCE"
"100","15-6(B)(5)","C","0","LITTER/ANIMAL CARCASS/UNLAWFUL DISPOSAL/COUNTY ORD"
"101","15-6(B)(6)","C","0","LITTER/GARBAGE/TRASH RECYCLING CENTER/COUNTY ORDIN"
"102","15-6(B)(8)","C","0","LITTER/OBSTRUCT USE OF NEIGHBORHOOD STATION/CTY OR"
"103","15-74","L","0","ALCOHOL/CONSUMPTION IN PUBLIC/SOUTH MIAMI ORD"
"104","16-16","L","0","PROSTITUTION/MUNICIPAL ORDINANCE"
"105","16-25","L","0","CERTAIN SOUNDS CREATING NOISES PROHIBIT/MG MUN ORD"
"106","17-1","C","0","MINIMUM HOUSING REG VIOLATION/COUNTY ORDINANCE"
"107","17-15(A)(B)","C","0","MINIMUM HOUSING STANDARD VIOL/COUNTY ORDINANCE"
"108","17-17","L","0","SLEEPING/PUBLIC PLACE"
"109","18-127","L","0","CONTROL/NUISANCE/ANIMALS/MG ORD"
"110","18-128","L","0","ANIMALS/DOMESTIC/MG ORD"
"111","18-157","L","0","ACTIVITIES/RECREATIONAL/MG ORD"
"112","18-158","L","0","GAMES/DANGEROUS/DESIGNATED/AREAS/MG ORD"
"113","18-159","L","0","SWIMMING/BATHING/WATER/PARKS/MG ORD"
"114","18-160","L","0","FISHING/RESTRICTED/AREAS/MG ORD"
"115","18-182","L","0","BOATING/MG ORD"
"116","18-183","L","0","PICNIC SHELTER PERMIT/MG ORD"
"117","18-184","L","0","CAMPING/PARKS/MG ORD"
"118","18-207","L","0","POLLUTION/WATERS/MG ORD"
"119","18-208","L","0","TRASH/DESTRUCTION/PARK/PROPERTY/MG ORD"
"120","18-912","L","0","STR PERFORM/ART VEN W/O PERM/MIAMI BEACH ORDINANCE"
"121","18-106","L","0","PRESERVATION OF PROPERTY MG MUN ORDINANCE"
"122","18-126","L","0","PROTECTION AND PRESERVATION OF WILDLIFE MG MUN ORD"
"123","18-129","L","0","CLOSING OF PARKS/MIAMI GARDENS MUNICIPAL ORDINANCE"
"124","18-161","L","0","HUNTING AND FIREARMS/MIAMI GARDENS MUN ORDINANCE"
"125","18-162","L","0","TOY FIREARMS/FIREWORKS/EXPLOSIVES/MIAMI GARDENS MO"
"126","18-163","L","0","PICNIC AREAS AND USE/MIAMI GARDENS MUN ORDINANCE"
"127","18-164","L","0","HORSEBACK RIDING/MIAMI GARDENS MUNICIPAL ORDINANCE"
"128","18-18","L","0","DISORDERLY INTOXICATION/MUNICIPAL ORDINANCE"
"129","18-240","L","0","NOISE/MIAMI GARDENS MUNICIPAL ORDINANCE"
"130","18-241","L","0","MERCHANDISING/VENDING/PEDDLING/MIAMI GDNS MUN ORD"
"131","18-242","L","0","ADVERTISING AND PUBLICITY SIGNS/MIAMI GDNS MUN ORD"
"132","18-243","L","0","PUBLIC DEMONSTR/GATHERING/PERFORM/SPCH/MIAMI GDNS"
"133","18-244","L","0","UNDER THE INFLUENCE OF DRUGS AND ALCOHOL INTOX/MG"
"134","18-245","L","0","ALCOHOLIC BEVERAGES/MIAMI GARDENS MUNI ORDINANCE"
"135","18-246","L","0","PROPER USE OF FACILITIES/MIAMI GARDENS MUN ORDER"
"136","18-247","L","0","GAMBLING/MIAMI GARDENS MUNICIPAL ORDINANCE"
"137","18-77","L","0","ROADS/DRIVEWAYS WITHIN PARKS MG MUN ORD"
"138","18-78","L","0","TRUCKS BUSES OTHER HEAVY VEHICLES MG MUN ORDINANCE"
"139","18-80","L","0","PARKING MG MUN ORDINANCE"
"140","18-81","L","0","USE OF VEHICLES MG MUN ORDINANCE"
"141","19-19","L","0","BUILDING AND ZONING VIOLATION/MUNICIPAL ORDINANCE"
"142","20-78","L","0","DISTRIBUTING HANDBILLS PUBLIC PLACES/MG ORD"
"143","20-79","L","0","PROHIBITION/HANDBILLS/VEHICLES/MG ORD"
"144","20-80","L","0","PROHIBITION/SIGNS/POLES/MG ORD"
"145","20-81","L","0","DEPOSITING/HANDBILL/PROPERTY/MG ORD"
"146","20-186","L","0","PERMIT REQUIRED/MG ORD"
